state,district
Andaman and Nicobar Islands,Nicobar
Andaman and Nicobar Islands,North and Middle Andaman
Andaman and Nicobar Islands,South Andaman
Chandigarh,Chandigarh
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli
Dadra and Nagar Haveli and Daman and Diu,Daman
Dadra and Nagar Haveli and Daman and Diu,Diu
Jammu and Kashmir,Anantnag
Jammu and Kashmir,Bandipora
Jammu and Kashmir,Baramulla
Jammu and Kashmir,Budgam
Jammu and Kashmir,Doda
Jammu and Kashmir,Ganderbal
Jammu and Kashmir,Jammu
Jammu and Kashmir,Kathua
Jammu and Kashmir,Kishtwar
Jammu and Kashmir,Kulgam
Jammu and Kashmir,Kupwara
Jammu and Kashmir,Poonch
Jammu and Kashmir,Pulwama
Jammu and Kashmir,Rajouri
Jammu and Kashmir,Ramban
Jammu and Kashmir,Reasi
Jammu and Kashmir,Samba
Jammu and Kashmir,Shopian
Jammu and Kashmir,Srinagar
Jammu and Kashmir,Udhampur
Lakshadweep,Lakshadweep
Puducherry,Karaikal
Puducherry,Mahe
Puducherry,Puducherry
Puducherry,Yanam
Delhi,Central Delhi
Delhi,North Delhi
Delhi,South Delhi
Delhi,East Delhi
Delhi,North East Delhi
Delhi,South West Delhi
Delhi,New Delhi
Delhi,North West Delhi
Delhi,West Delhi
Delhi,Shahdara
Delhi,South East Delhi
Ladakh,Kargil
Ladakh,Leh-Ladakh
Andhra Pradesh,Alluri Sitharama Raju
Andhra Pradesh,Anakapalli
Andhra Pradesh,Ananthapuramu
Andhra Pradesh,Annamayya
Andhra Pradesh,Bapatla
Andhra Pradesh,Chittoor
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema
Andhra Pradesh,East Godavari
Andhra Pradesh,Eluru
Andhra Pradesh,Guntur
Andhra Pradesh,Kakinada
Andhra Pradesh,Krishna
Andhra Pradesh,Kurnool
Andhra Pradesh,Nandyal
Andhra Pradesh,Ntr
Andhra Pradesh,Palnadu
Andhra Pradesh,Parvathipuram Manyam
Andhra Pradesh,Prakasam
Andhra Pradesh,Sri Potti Manyam
Andhra Pradesh,Sri Sathya Sai
Andhra Pradesh,Srikakulam
Andhra Pradesh,Tirupati
Andhra Pradesh,Visakhapatnam
Andhra Pradesh,Vizianagaram
Andhra Pradesh,West Godavari
Andhra Pradesh,Y.S.R.Kadapa
Arunachal Pradesh,Anjaw
Arunachal Pradesh,Bichom
Arunachal Pradesh,Changlang
Arunachal Pradesh,Dibang Valley
