date,state,district,age_0_5,age_5_17,age_18_greater,total_enrolment
2025-01-04,Assam,Baksa,408,483,187,1078
2025-01-04,Assam,Barpeta,138,54,23,215
2025-01-04,Assam,Biswanath,104,114,32,250
2025-01-04,Assam,Bongaigaon,221,87,61,369
2025-01-04,Assam,Cachar,988,461,299,1748
2025-01-04,Assam,Charaideo,91,50,164,305
2025-01-04,Assam,Chirang,189,199,179,567
2025-01-04,Assam,Darrang,654,340,270,1264
2025-01-04,Assam,Dhemaji,179,176,52,407
2025-01-04,Assam,Dhubri,998,654,80,1732
2025-01-04,Assam,Dibrugarh,179,149,186,514
2025-01-04,Assam,Goalpara,587,294,283,1164
2025-01-04,Assam,Golaghat,568,501,144,1213
2025-01-04,Assam,Hailakandi,242,143,78,463
2025-01-04,Assam,Hojai,763,253,100,1116
2025-01-04,Assam,Jorhat,210,156,154,520
2025-01-04,Assam,Kamrup,741,404,179,1324
2025-01-04,Assam,Karbi Anglong,543,1030,323,1896
2025-01-04,Assam,Karimganj,508,426,91,1025
2025-01-04,Assam,Kokrajhar,301,238,25,564
2025-01-04,Assam,Lakhimpur,400,221,93,714
2025-01-04,Assam,Nagaon,504,236,36,776
2025-01-04,Assam,Nalbari,55,49,77,181
2025-01-04,Assam,Sonitpur,138,169,65,372
2025-01-04,Assam,Tinsukia,339,391,261,991
2025-01-04,Assam,Udalguri,447,364,319,1130
2025-01-04,Assam,West Karbi Anglong,94,344,45,483
2025-01-04,Bihar,Bhagalpur,678,534,26,1238
2025-01-04,Bihar,East Champaran,1528,2371,153,4052
2025-01-04,Bihar,Gaya,437,1371,54,1862
2025-01-04,Bihar,Jamui,1015,647,30,1692
2025-01-04,Bihar,Jehanabad,78,292,48,418
2025-01-04,Bihar,Madhubani,388,485,60,933
2025-01-04,Bihar,Munger,191,278,22,491
2025-01-04,Bihar,Muzaffarpur,1159,865,65,2089
2025-01-04,Bihar,Patna,723,2303,373,3399
2025-01-04,Bihar,Purnia,517,276,21,814
2025-01-04,Bihar,Saran,143,174,10,327
2025-01-04,Bihar,Sitamarhi,2452,1625,487,4564
2025-01-04,Bihar,Vaishali,270,217,10,497
2025-01-04,Bihar,West Champaran,2826,3724,159,6709
2025-01-04,Chandigarh,Chandigarh,86,21,10,117
2025-01-04,Chhattisgarh,Bijapur,397,135,126,658
2025-01-04,Chhattisgarh,Durg,336,38,10,384
2025-01-04,Chhattisgarh,Raipur,299,12,11,322
2025-01-04,Chhattisgarh,Sukma,267,69,45,381
2025-01-04,Delhi,Central Delhi,80,41,12,133
2025-01-04,Delhi,East Delhi,676,221,15,912
2025-01-04,Delhi,North West Delhi,903,349,54,1306
2025-01-04,Delhi,Shahdara,208,98,13,319
2025-01-04,Delhi,South Delhi,404,137,22,563
2025-01-04,Delhi,South West Delhi,558,209,58,825
2025-01-04,Delhi,West Delhi,1249,440,183,1872
2025-01-04,Gujarat,Ahmedabad,77,26,19,122
2025-01-04,Gujarat,Amreli,174,21,43,238
2025-01-04,Gujarat,Anand,136,30,75,241
2025-01-04,Gujarat,Aravalli,144,32,30,206
2025-01-04,Gujarat,Banaskantha,1685,1358,1001,4044
2025-01-04,Gujarat,Bharuch,138,50,23,211
2025-01-04,Gujarat,Bhavnagar,567,36,25,628
2025-01-04,Gujarat,Botad,291,21,20,332
2025-01-04,Gujarat,Dahod,855,782,434,2071
2025-01-04,Gujarat,Devbhumi Dwarka,186,44,54,284
2025-01-04,Gujarat,Gandhinagar,495,138,156,789
2025-01-04,Gujarat,Gir Somnath,1262,265,179,1706
